name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Sheveland, Tyler",02N2915H,2019-04-05 04:18:21,FALSE,Midwife outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Palmer, Audreon",59R6791C,2019-02-06 09:09:17,FALSE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Practice hours,FALSE,FALSE
"Wagner, Samuel",65V5390Q,2019-09-27 00:13:18,TRUE,Nurse outside the UK,No,Deceased,Midwife,Reflective discussion,FALSE,TRUE
"Rael, Aaron",15T6004A,2019-06-30 03:06:33,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Written reflective accounts,FALSE,FALSE
"Hernandez, Amber",53R0330Y,2019-06-20 18:00:06,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Midwife,Practice hours,FALSE,TRUE
"el-Abood, Mushtaaq",11Y5450C,2019-08-28 08:59:42,TRUE,Nurse outside the UK,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Gonzalez, Eduardo",35B5947T,2019-07-26 10:52:22,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Confirmation,FALSE,FALSE
"Hensinger II, Isaac",82Q3555C,2019-06-15 07:06:03,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,TRUE
"al-Saab, Faarooq",37V9272O,2019-03-28 14:49:20,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Written reflective accounts,TRUE,FALSE
"Lumsden, Robert",44N3442E,2019-11-03 08:33:41,TRUE,Midwife outside the UK,Partial lapse,Deceased,Nurse,CPD,TRUE,FALSE
"Hamlin, Calvin",94F2696W,2019-01-03 12:30:22,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Written reflective accounts,TRUE,TRUE
"Hopkins, Alison",05W7691Q,2019-02-04 20:14:23,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Practice-related feedback,TRUE,FALSE
"Esquibel, Vivian",06P0410P,2019-10-23 00:16:38,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,CPD,FALSE,FALSE
"Farrar, Zaire",93Q3947K,2019-08-10 21:39:16,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,CPD,TRUE,FALSE
"el-Kazmi, Jaasir",28B6896R,2019-08-08 02:53:11,FALSE,Nurse inside the UK,Yes,Retirement,Nurse,Health and character declaration,TRUE,TRUE
"Torain, Jeremy",85B5396F,2019-07-10 07:31:37,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Confirmation,TRUE,TRUE
"Jefferson, Mercedes",38M8273Y,2019-09-10 09:31:48,TRUE,Nurse inside the UK,No,Ill health,Nurse,Confirmation,TRUE,TRUE
"Hong, Randall",65I0580H,2019-10-26 09:36:23,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Confirmation,FALSE,TRUE
"Meredith, Marcus",44E7152S,2019-04-28 09:23:43,TRUE,Nurse outside the UK,No,Deceased,Nurse,Health and character declaration,TRUE,TRUE
"Sanchez, Hugo",49E5498W,2019-03-19 21:05:29,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Wallace, Olivia",14B4870X,2019-10-27 01:02:49,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,TRUE
"Gonzales, Christina",53D8736P,2019-02-17 23:41:05,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Reflective discussion,TRUE,TRUE
"Berg, Brandon",37N1716P,2019-01-09 23:18:22,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,TRUE
"Sysavoung, May",58M1254M,2019-04-22 16:40:25,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Reflective discussion,FALSE,FALSE
"el-Hafeez, Muhammad",65U3798S,2019-08-18 12:09:59,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Reflective discussion,FALSE,FALSE
"Taft, Mark",33A5466D,2019-10-20 09:12:01,TRUE,Midwife outside the UK,No,Deceased,Nurse,Confirmation,TRUE,TRUE
"el-Kaiser, Husaam",10J0187K,2019-01-10 06:26:30,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,TRUE
"Completo, Danielle",93O0767Q,2019-05-13 02:43:23,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Lovan, Lance",28J6272Y,2019-10-25 01:40:34,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"el-Demian, Waajida",06Z1950G,2019-02-13 10:13:33,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"Johnson, Earl",51F5835B,2019-11-05 16:54:52,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Ta, David",53K3033C,2019-11-14 14:40:09,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,TRUE
"Meza, Fernando",22K1294X,2019-03-12 18:15:11,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,FALSE
"Hoffman, Robert",20V0145Q,2019-12-07 19:30:28,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"al-Baccus, Farhaana",07A6760N,2019-05-19 01:45:11,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,FALSE
"Maryland, Vincentia-Paula",39Z7830V,2019-04-19 16:52:57,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Kroonenberg, Lisa",25S9992E,2019-08-10 08:47:38,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"al-Attar, Hissa",57X8831K,2019-08-17 11:34:03,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Esselman, Manya",16W6886K,2019-08-20 19:02:28,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,Practice-related feedback,TRUE,FALSE
"Laner, Jordan",12L7381K,2019-05-11 04:35:02,FALSE,Nurse inside the UK,Yes,Retirement,Nurse,CPD,TRUE,FALSE
"Lhungay, Randy",65P9599Y,2019-05-21 13:58:11,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,TRUE
"Butler, Marcus",84P5726O,2019-07-05 10:41:07,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,FALSE
"Hare, Caitlin",62B1071Y,2019-06-08 09:56:08,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Written reflective accounts,FALSE,FALSE
"al-Naqvi, Siddeeqa",57K3496L,2019-04-23 05:44:25,FALSE,Nurse inside the UK,Yes,Retirement,Nurse,Confirmation,FALSE,FALSE
"Toraya-Sosa, Jessica",68Y4087M,2019-08-18 23:10:01,TRUE,Nurse inside the UK,Yes,Retirement,Nurse,CPD,TRUE,FALSE
"Kingman, Charlie",25R0817C,2019-06-23 18:24:16,FALSE,Nurse outside the UK,No,Retirement,Midwife,Reflective discussion,FALSE,TRUE
"Smith, Rachel",68U0211R,2019-06-07 11:58:15,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,FALSE
"Nguyen, David",38B8785O,2019-02-06 10:55:15,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Written reflective accounts,FALSE,TRUE
"Noon, Yihang",73F9218S,2019-08-04 16:46:26,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,TRUE,FALSE
"al-Ayub, Muneera",85J9770J,2019-05-02 08:01:56,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,FALSE
"Trujillo, Sarah",86Z6976Q,2019-05-12 13:34:27,TRUE,Nurse inside the UK,Yes,Retirement,Nurse,Practice hours,FALSE,FALSE
"Marquez, Alicia",87W0365V,2019-04-20 13:53:36,TRUE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Practice hours,FALSE,TRUE
"Cervantes, Rose",46G7400W,2019-08-05 11:02:55,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Practice hours,TRUE,FALSE
"Wheeler, Jalissah",83T1316K,2019-03-09 06:27:03,FALSE,Nurse inside the UK,Yes,Deceased,Nurse,Health and character declaration,FALSE,FALSE
"Cousins, Dominic",03M7394L,2019-04-10 01:27:37,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Smith, Kaitlyn Marisa",01L5251J,2019-10-25 05:35:13,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,FALSE
"Kallon, Anya",52M7014Q,2019-05-01 22:55:05,FALSE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Written reflective accounts,FALSE,FALSE
"Sandoval, Deanna",79U1155I,2019-12-09 22:52:21,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,TRUE
"Her, Chan Young",16E6449C,2019-08-11 19:02:19,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Health and character declaration,FALSE,TRUE
"Chaca, Candace",72K2700R,2019-03-09 17:16:11,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice-related feedback,FALSE,TRUE
"Barker, Sarah",84J4810R,2019-09-25 04:34:02,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Caravio, Jeremy",05C5621W,2019-05-02 12:16:38,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Confirmation,FALSE,TRUE
"Mylander, Kylie",72G7760Q,2019-02-05 07:33:40,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Health and character declaration,TRUE,TRUE
"Sagel, Alyssa",02Q8990K,2019-03-31 11:14:08,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,TRUE,FALSE
"Warren, Keith",19Q5268O,2019-06-03 14:07:29,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,FALSE
"Coreau, Joshua",58N6922N,2019-06-18 09:32:47,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,TRUE
"al-Nasir, Adeeb",82M6924Y,2019-08-09 12:56:20,TRUE,Nurse inside the UK,Yes,Deceased,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Bernal, Erika",14W4058H,2019-05-09 17:51:17,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Confirmation,FALSE,FALSE
"L'Hirondelle, Wyona",46P5055L,2019-04-19 06:13:36,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Midwife,Confirmation,FALSE,TRUE
"Henry, Andrew",21E1220M,2019-09-03 22:48:21,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,Practice hours,TRUE,TRUE
"Horton, Linh",07P1122R,2019-10-28 04:18:45,TRUE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Warren, Keith",68V8583S,2019-07-22 11:54:03,FALSE,Nurse outside the UK,Partial lapse,Retirement,Nurse,Practice hours,TRUE,TRUE
"el-Abdi, Naasif",09N0649E,2019-06-06 02:18:20,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,Reflective discussion,FALSE,FALSE
"Wilcox, Miles",69C7024Q,2019-08-01 15:17:12,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Reflective discussion,FALSE,TRUE
"el-Aly, Abeer",93Z6786E,2019-08-15 18:42:11,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,TRUE
"Laner, Jordan",28W8637G,2019-08-20 11:19:25,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Than, Nikolas",95Y9648R,2019-06-12 02:43:44,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Confirmation,FALSE,TRUE
"Newsom, Justin",84J8365O,2019-02-12 17:34:12,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Cloud, Gabriel",14C5333W,2019-06-16 22:14:52,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,TRUE
"Johnson, Christian",43Y3402L,2019-08-24 01:53:39,FALSE,Nurse inside the UK,No,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Hay, Jacob",36G7647E,2019-02-28 15:53:06,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Confirmation,FALSE,FALSE
"Fellows, Julie",23M0420E,2019-11-13 04:38:28,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Wemple, Cheyenne",61T1689V,2019-09-01 23:03:10,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,CPD,FALSE,FALSE
"Swanson, Thomas",20R9200N,2019-09-10 03:23:35,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"al-Ahmadi, Sabeeka",99G4285G,2019-04-09 23:35:48,TRUE,Nurse outside the UK,Yes,Deceased,Nurse,Confirmation,FALSE,FALSE
"Smith, Hannah",79L6719P,2019-09-02 00:48:08,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Confirmation,TRUE,FALSE
"Kunz, Andrew",12V6941D,2019-10-31 10:11:10,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"Schichtel, Jessica",89Y6520O,2019-01-29 21:02:29,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Practice hours,TRUE,FALSE
"Embury, Tristan",75M3773D,2019-11-12 18:44:51,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Written reflective accounts,TRUE,FALSE
"Carlino, Adrian",32B7603F,2019-01-10 13:58:54,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,FALSE
"Xiong, Kevin",69E4642W,2019-05-11 03:21:19,TRUE,Midwife outside the UK,No,Retirement,Nurse,Practice hours,FALSE,FALSE
"Glover III, Tachelle",19A8362C,2019-06-12 15:43:26,FALSE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,FALSE
"Trujillo, Danny",79U6059T,2019-11-09 19:46:31,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Singh, Alonzo",22P4708G,2019-03-10 02:16:24,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Confirmation,FALSE,FALSE
"Ashlock, Kevin",05H0076D,2019-11-23 06:17:17,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,TRUE
"Munoz, Catherine",11F9809Z,2019-05-27 09:20:22,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,CPD,TRUE,TRUE
"Bindejo, Angelina",28I4359V,2019-05-18 04:48:41,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,CPD,TRUE,FALSE
"Vaile, Joseph",73Q8306E,2019-10-12 04:58:45,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,TRUE
"Le, Charlotte",62B7729J,2019-12-26 06:06:58,FALSE,Midwife outside the UK,Yes,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Franco, Sabrina",87K6653O,2019-11-28 18:51:09,TRUE,Midwife outside the UK,Yes,Retirement,Midwife,Confirmation,FALSE,TRUE
"Suto, Ritika",86S9778W,2019-07-14 23:13:41,FALSE,Midwife outside the UK,No,Retirement,Nurse,Written reflective accounts,TRUE,TRUE
"Mondrey, Cedric",24I8024A,2019-01-18 13:40:14,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,Written reflective accounts,TRUE,TRUE
"el-Akhtar, Nusaiba",35G3829X,2019-12-26 22:48:56,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,TRUE
"Algiere, Adam",82T0163C,2019-08-14 01:09:00,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,FALSE
"Davidson, Janetta",00S4265D,2019-09-15 06:34:21,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Written reflective accounts,TRUE,FALSE
"Leslie, Serena",49L5725Z,2019-06-19 13:58:22,TRUE,Nurse outside the UK,Yes,Deceased,Midwife,Practice-related feedback,TRUE,TRUE
"Bustillos Gamboa, Elisa",16Q4526D,2019-08-03 10:15:26,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,TRUE
"al-Zaher, Jaasir",95T9818W,2019-08-15 20:58:39,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Confirmation,TRUE,FALSE
"Maxwell, Akila",11E1551A,2019-07-22 06:02:55,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,TRUE,FALSE
"Medina, Freddy",37O3996H,2019-01-26 03:39:14,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Practice-related feedback,TRUE,FALSE
"al-Yousef, Manaal",81B7916R,2019-01-21 12:31:23,TRUE,Midwife outside the UK,No,Retirement,Nurse,CPD,TRUE,FALSE
"Echerivel, Brian",93F3550C,2019-03-29 16:23:36,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,TRUE
"Rockwell, Brian",37Z7222P,2019-12-19 10:11:40,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,CPD,TRUE,TRUE
"Sasaki, Andrew",10C4070S,2019-08-21 10:31:49,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"Lee, Nhu",02Z5724H,2019-01-19 11:56:41,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Confirmation,TRUE,TRUE
"Carvey, Olivia",70R1152T,2019-03-03 05:15:38,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Daniel, Kenneth",46P7575Z,2019-01-27 12:36:28,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,TRUE,TRUE
"O'Neill, Makenzie",39E6047B,2019-08-15 17:13:39,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,TRUE
"el-Shahin, Zaki",47D9883E,2019-02-01 13:45:21,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Confirmation,FALSE,TRUE
"Cruz, Jayme",93F3117H,2019-02-05 09:37:07,FALSE,Midwife outside the UK,No,Retirement,Midwife,Confirmation,TRUE,FALSE
"Crook, James",80N1315F,2019-04-27 15:46:12,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Written reflective accounts,FALSE,FALSE
"el-Farag, Faalih",01R8953U,2019-08-25 04:24:11,FALSE,Nurse inside the UK,No,Deceased,Nurse,Practice hours,TRUE,TRUE
"Perry, Alexandra",05W5279N,2019-02-26 19:22:19,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,TRUE
"Mortensen, Eugene",09U3741Y,2019-06-27 08:27:07,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
