name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Nln, Julianna",66C6333Q,2019-08-12 01:10:28,Member fo the public,Reason1,allegationtype2,
"Day, Drew",98D5220E,2019-06-07 05:18:47,Member fo the public,Reason1,allegationtype2,
"Miller, Jayratna",47D0689Y,2019-02-05 15:32:36,Member fo the public,Reason2,allegationtype2,
"el-Rahimi, Jaadallah",36Y5037S,2019-06-22 09:24:08,Employer,Reason1,allegationtype2,Information from employer
"al-Hasan, Atheer",37V9272O,2019-10-15 15:10:56,Member fo the public,Reason1,allegationtype1,Information from employer
"Delmonte, Emily",35I6138U,2019-07-19 21:03:16,Member fo the public,Reason1,allegationtype1,
"al-Safar, Numair",50G9456F,2019-03-21 05:52:35,Employer,Reason2,allegationtype1,
"Maloy, Kymbreanne",58N7112Z,2019-08-18 00:46:50,Employer,Reason1,allegationtype1,
"Aguilar, Armando",56Q9331Q,2019-08-13 13:53:52,Member fo the public,Reason2,allegationtype2,
"Downs, Ty",28T8555Y,2019-04-21 10:48:28,Employer,Reason2,allegationtype1,Information from employer
"Phoenix, Toure",83F4641Z,2019-03-02 13:01:06,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Mohammad, Raafi",00V6048H,2019-08-30 10:14:20,Member fo the public,Reason2,allegationtype2,
"Ogsbury-Jones, Tyrell",09N0649E,2019-03-04 13:56:19,Employer,Reason1,allegationtype1,Information from employer
"Orr, Marquin",73Q9531F,2019-09-09 15:29:38,Employer,Reason1,allegationtype2,
"Christopherson, Thomas",78U6192A,2019-12-28 12:22:29,Employer,Reason1,allegationtype1,Information from employer
"Ward, Jessica",75X8560U,2019-04-06 06:27:04,Member fo the public,Reason1,allegationtype1,
"Colbert, Sydney",00X5809J,2019-06-24 06:44:46,Member fo the public,Reason1,allegationtype2,
"Kelley, Isaiha",34X3201T,2019-07-24 00:34:48,Employer,Reason1,allegationtype2,Information from employer
"Rios, Theodore",82E7091O,2019-06-14 03:17:14,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Farman, Rushdi",35L9890D,2019-02-04 20:14:23,Member fo the public,Reason1,allegationtype2,
"Mccarthy, Ryan",28L0811W,2019-07-09 23:13:42,Employer,Reason2,allegationtype1,Information from employer
"el-Abid, Hanlala",14C5333W,2019-12-25 01:55:45,Employer,Reason1,allegationtype2,Information from employer
"Hyden-Terry, Manuella",24X4666R,2019-03-21 13:30:43,Member fo the public,Reason1,allegationtype1,Information from employer
"Rocha, Schuyler",96E9100N,2019-07-24 19:28:40,Member fo the public,Reason2,allegationtype2,
"Nasreldin, Brianna",56A3169A,2019-11-30 03:30:11,Employer,Reason1,allegationtype1,
"Lumsden, Ruby",53F8687G,2019-02-10 00:21:23,Member fo the public,Reason2,allegationtype2,
"Sorrell, Adina",14W6239V,2019-04-13 09:46:46,Member fo the public,Reason1,allegationtype1,Information from employer
"Sanchez, Francisco",39W4978A,2019-12-29 06:16:01,Employer,Reason1,allegationtype2,
"Ewertz, Brianne",91V2750C,2019-10-27 03:41:36,Employer,Reason1,allegationtype1,
"Day, Drew",64O6191W,2019-01-10 12:55:37,Employer,Reason2,allegationtype1,
"Gurule, Jane",20R9200N,2019-02-05 18:14:53,Employer,Reason1,allegationtype1,Information from employer
"Mateo, Sarah",92K6284C,2019-02-05 18:14:53,Employer,Reason2,allegationtype2,
"el-Amber, Sundus",68C7701Q,2019-03-09 17:31:01,Member fo the public,Reason2,allegationtype1,Information from employer
"Thompson, Karagan",57S2713U,2019-11-06 08:19:04,Member fo the public,Reason2,allegationtype1,
"Livesay, Robert",48H8703F,2019-01-18 14:39:40,Member fo the public,Reason1,allegationtype1,Information from employer
"Cuevas, Ammi",86K8267F,2019-11-22 20:31:51,Member fo the public,Reason2,allegationtype1,
"Carter, Asia",52E2608T,2019-10-22 17:18:24,Member fo the public,Reason1,allegationtype2,
"Ali, Megan",51W4732M,2019-07-13 05:02:34,Employer,Reason2,allegationtype1,
"Palomera Partida, Adrian",71C5675U,2019-02-17 15:53:59,Employer,Reason2,allegationtype2,Information from employer
"Schaffer, Andrew",54O9743X,2019-12-06 09:30:29,Member fo the public,Reason2,allegationtype1,
"Gruber, Candice",73Y1673I,2019-03-09 14:36:43,Employer,Reason1,allegationtype2,
"Huang, Socheata",05U7152Q,2019-10-07 11:42:46,Member fo the public,Reason1,allegationtype1,Information from employer
"Boone, Phillip",95X2919M,2019-06-22 20:24:10,Member fo the public,Reason1,allegationtype1,Information from employer
"Womack, Tatianna",59T4267V,2019-12-20 14:54:34,Employer,Reason2,allegationtype2,Information from employer
"Meadows, Randa Augustina",72V3148R,2019-01-08 04:42:14,Employer,Reason2,allegationtype2,Information from employer
"el-Yousif, Saleel",20V0145Q,2019-10-11 04:53:13,Employer,Reason1,allegationtype2,
"Caro, Aimee",74E2614B,2019-01-28 06:32:36,Employer,Reason2,allegationtype1,
"el-Aly, Abeer",82Q6124C,2019-12-26 13:55:09,Member fo the public,Reason1,allegationtype1,
"Berumen-Gonzalez, Noe",48E3063N,2019-11-17 10:24:27,Member fo the public,Reason1,allegationtype1,
"Nissan, Kelcy",33B8451P,2019-06-26 15:22:45,Employer,Reason1,allegationtype2,Information from employer
"Keelick, Jakob",07F2203N,2019-11-18 03:18:25,Employer,Reason2,allegationtype1,
"Ohlig, Macy",13V2077H,2019-02-24 11:23:48,Member fo the public,Reason2,allegationtype2,
"Nealey, Omnia",67R8119S,2019-07-30 06:29:18,Member fo the public,Reason2,allegationtype1,
"Lynn, Megan",49X5941H,2019-09-03 18:49:24,Member fo the public,Reason2,allegationtype2,Information from employer
"Bindejo, Angelina",19G7102R,2019-02-25 10:43:13,Employer,Reason1,allegationtype2,
"Leija, Rebeca",72N2458C,2019-08-21 19:31:21,Employer,Reason2,allegationtype2,Information from employer
"Ryckman, Brandon",92E4233H,2019-02-09 07:39:40,Employer,Reason2,allegationtype1,Information from employer
"Mcwilliams, Taylor",22J8628F,2019-11-05 11:03:37,Member fo the public,Reason2,allegationtype2,
"Ayele, Nelson",81R0452W,2019-01-08 08:45:42,Member fo the public,Reason1,allegationtype2,
"al-Hammoud, Afeef",62U0671Y,2019-05-10 14:26:33,Member fo the public,Reason1,allegationtype2,Information from employer
"Berger, Walker",91D0415I,2019-07-30 20:30:58,Member fo the public,Reason2,allegationtype1,Information from employer
"Brasfield, Paris",05M4217M,2019-11-20 09:59:44,Member fo the public,Reason2,allegationtype2,Information from employer
"Cuevas, Ammi",03X9151W,2019-04-22 11:40:14,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Saade, Farajallah",69M9216B,2019-07-08 05:26:13,Member fo the public,Reason1,allegationtype1,Information from employer
"Bolyard, Jeffrey",40R5826U,2019-10-09 20:14:44,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Mussa, Silmi",21E4969I,2019-02-05 11:21:30,Employer,Reason2,allegationtype2,Information from employer
"al-Salik, Saabira",93O4733M,2019-09-27 22:23:06,Employer,Reason2,allegationtype2,
"Chen, Kira",89M2834F,2019-03-29 16:52:49,Member fo the public,Reason2,allegationtype2,
"Michaelis, Rachel",05W5279N,2019-12-16 13:12:37,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Jaffer, Nabeel",64F3862B,2019-07-30 12:27:52,Member fo the public,Reason2,allegationtype1,
"Maldonado, Sadie",09M8181D,2019-08-04 15:19:23,Member fo the public,Reason1,allegationtype2,Information from employer
"Ezzat, Aminaa",19D2339J,2019-07-22 04:19:24,Member fo the public,Reason1,allegationtype2,
"Gann, Christopher",17F4624X,2019-11-11 09:37:59,Member fo the public,Reason2,allegationtype2,
"Smith, Kaitlyn Marisa",78Q3084A,2019-04-17 04:15:08,Member fo the public,Reason1,allegationtype1,Information from employer
"Qadri, Kevin",23J2763C,2019-12-04 12:07:34,Member fo the public,Reason1,allegationtype1,Information from employer
"Jones, Krystal",25O5448H,2019-08-19 18:32:31,Member fo the public,Reason2,allegationtype2,Information from employer
"Said, Savon",11W2329D,2019-05-27 22:25:01,Employer,Reason1,allegationtype2,Information from employer
"Bell, Michael",15U6419M,2019-09-06 09:19:35,Employer,Reason1,allegationtype2,
"el-Nazir, Abdul Lateef",63Y2248Z,2019-06-03 18:37:22,Employer,Reason1,allegationtype1,Information from employer
"Sherengo, Dominick",66K0080T,2019-11-03 01:24:01,Employer,Reason1,allegationtype1,
"Montez, Amya",34S8281S,2019-12-20 22:49:44,Member fo the public,Reason1,allegationtype2,
"Quach, Deborah",99T0518L,2019-10-23 12:22:05,Member fo the public,Reason2,allegationtype2,
"el-Basha, Izza",20M6563B,2019-12-30 05:24:01,Member fo the public,Reason1,allegationtype2,
"Hill, Tiana",78B5000P,2019-11-13 21:11:25,Employer,Reason2,allegationtype2,
"Walsh, Jamarian",49E7580E,2019-07-14 12:10:01,Member fo the public,Reason2,allegationtype1,
"Russ, Qing",69T2289Q,2019-05-23 08:35:24,Employer,Reason2,allegationtype2,
"Delmonte, Emily",54X5970O,2019-11-10 02:35:26,Employer,Reason1,allegationtype1,
"Sutten Coats, Brad",15G1924S,2019-05-09 15:34:41,Member fo the public,Reason2,allegationtype1,Information from employer
"Sugar, Dennis",81T2735R,2019-11-17 02:22:08,Employer,Reason1,allegationtype1,Information from employer
"Guyon, Paris",64M7398Q,2019-06-04 19:01:43,Employer,Reason1,allegationtype2,Information from employer
"Stephenson, Meghan",46G4263Y,2019-06-06 04:10:46,Employer,Reason2,allegationtype2,
"Golden, Alexander",26Z8955O,2019-05-09 01:30:08,Employer,Reason2,allegationtype1,Information from employer
"Trujillo, Valerie",59B6864X,2019-12-19 04:34:03,Employer,Reason1,allegationtype2,Information from employer
"Webb, Mohamed",82S2255K,2019-12-22 19:06:49,Employer,Reason1,allegationtype1,
"Cruz, Trent",37O4311H,2019-08-02 04:54:01,Member fo the public,Reason2,allegationtype1,
"Suda, Wei Dan",16K3942O,2019-09-25 18:19:04,Employer,Reason1,allegationtype1,Information from employer
"Scales, Jaiden",90A5848N,2019-10-15 16:28:03,Member fo the public,Reason1,allegationtype1,Information from employer
"Chain, Filitaa",60U6765A,2019-01-11 23:30:37,Employer,Reason1,allegationtype1,
"Crowghost, Addison",78V2913W,2019-11-11 22:32:12,Employer,Reason1,allegationtype2,Information from employer
"Grass, Deion",43Y3402L,2019-03-10 08:59:58,Member fo the public,Reason2,allegationtype1,
"Boggs, James",79T1656T,2019-07-18 06:10:25,Employer,Reason1,allegationtype1,
"Steinbock, Kent",94J5547H,2019-09-23 22:13:22,Member fo the public,Reason1,allegationtype2,Information from employer
"Hassanzadeh Oghan, Connor",57O5916K,2019-12-26 21:26:26,Employer,Reason1,allegationtype1,Information from employer
"Williams, Thaison",66A3310S,2019-08-30 10:14:20,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Soliman, Raaji",89P3834U,2019-04-12 20:27:51,Employer,Reason2,allegationtype1,
"Mendoza, Daniel",93C2773L,2019-05-27 08:40:57,Employer,Reason1,allegationtype1,Information from employer
"Zhao, Sainyane",79T1656T,2019-12-07 16:07:24,Member fo the public,Reason2,allegationtype2,Information from employer
"Copeland, Jalen",02K4210L,2019-06-17 14:46:13,Member fo the public,Reason1,allegationtype2,
"el-Kazmi, Jaasir",60W5704V,2019-10-15 00:10:37,Member fo the public,Reason1,allegationtype2,Information from employer
"Taylor, Nevin",31W5028A,2019-02-01 06:57:00,Employer,Reason2,allegationtype2,
"Kotwica, Kyle",99K9569W,2019-10-26 04:36:11,Member fo the public,Reason1,allegationtype1,
"Holmes, Breylin",98K2025B,2019-07-08 03:24:22,Member fo the public,Reason2,allegationtype1,
"Cabrera, Lijie",39Q8790M,2019-01-15 02:21:25,Employer,Reason2,allegationtype2,Information from employer
"King, Natalya",11L9485L,2019-03-12 03:30:24,Employer,Reason1,allegationtype1,Information from employer
"al-Abood, Aarifa",75O4191Z,2019-10-17 10:29:14,Employer,Reason1,allegationtype2,Information from employer
"Cheek, Kenaya",88I0160F,2019-10-22 02:17:53,Member fo the public,Reason2,allegationtype1,
"Upadhyay, Jasmine",25J6697W,2019-04-19 17:50:13,Member fo the public,Reason1,allegationtype1,
"el-Iman, Haazim",15O6895O,2019-04-23 19:27:55,Employer,Reason2,allegationtype1,Information from employer
"Hamlin, Calvin",99V2713B,2019-10-20 10:44:41,Member fo the public,Reason1,allegationtype1,
"Willis, Haley",66H0620E,2019-09-08 17:11:34,Employer,Reason1,allegationtype2,
"al-Maroun, Zeena",36N0090U,2019-10-09 20:14:44,Employer,Reason2,allegationtype1,
"Brooks, Marcus",13B4949N,2019-12-02 22:20:02,Member fo the public,Reason1,allegationtype2,Information from employer
"Oh, Magdalena",46G1254R,2019-10-26 09:52:28,Member fo the public,Reason1,allegationtype2,
"Soriano-Perez, Bradley",25X3082F,2019-11-10 23:19:46,Member fo the public,Reason1,allegationtype1,
"el-Bina, Warda",40D3487R,2019-07-12 06:16:10,Employer,Reason2,allegationtype2,Information from employer
"Keliiholokai, Jack",12W4016G,2019-10-31 04:33:42,Employer,Reason1,allegationtype1,
"Bergen, Abhisaar",75F2340G,2019-09-28 03:06:05,Member fo the public,Reason2,allegationtype1,
"Marlow, Sean",02C7593A,2019-12-18 23:51:47,Employer,Reason1,allegationtype2,Information from employer
"D'Rosario, Matthew",03Q3275C,2019-08-23 17:17:36,Employer,Reason2,allegationtype1,
"Ondrejko, Christopher",08A3575G,2019-05-05 18:56:38,Employer,Reason2,allegationtype1,
"Alvarez, Terrell",04O0835I,2019-07-17 11:21:02,Member fo the public,Reason1,allegationtype1,Information from employer
"Gonzalez Mendoza, Kayla",92W9870D,2019-03-18 01:58:33,Member fo the public,Reason1,allegationtype2,
"al-Samad, Wafaaa",02H8511S,2019-10-29 07:30:18,Member fo the public,Reason2,allegationtype1,
"Seyffer, Mary",96Y4525A,2019-09-11 06:17:21,Member fo the public,Reason2,allegationtype2,Information from employer
"Pinelle, Justin",72X8327L,2019-07-01 15:13:12,Employer,Reason2,allegationtype2,Information from employer
"Warat, Joshua",03Z7654S,2019-08-13 22:39:06,Member fo the public,Reason2,allegationtype1,
"Prawl, Kelly",66X8661P,2019-06-09 04:09:11,Employer,Reason1,allegationtype2,Information from employer
"al-Tawil, Safwa",03L5298T,2019-06-14 11:28:28,Member fo the public,Reason1,allegationtype2,
"Gabaldon, Devante",92P7739K,2019-11-28 05:05:17,Employer,Reason1,allegationtype1,
"el-Hameed, Aasima",15H0679G,2019-03-29 16:52:49,Employer,Reason2,allegationtype1,Information from employer
"Carvey, Olivia",43I3582N,2019-12-20 22:49:44,Employer,Reason1,allegationtype1,Information from employer
"French, James",49A5556L,2019-05-05 17:48:19,Employer,Reason2,allegationtype1,
"Sandhu, Marvin",49I1221N,2019-02-19 08:08:27,Member fo the public,Reason1,allegationtype1,
"Valdo, Anfernee",21H9796U,2019-11-19 18:23:20,Member fo the public,Reason1,allegationtype1,Information from employer
"Favors, Vivian",10K6939C,2019-04-16 04:04:46,Employer,Reason2,allegationtype1,Information from employer
"Kim, Christine",88E3589M,2019-08-02 06:25:43,Member fo the public,Reason2,allegationtype2,
"Weston, Lorrie",71Y9854O,2019-08-13 07:28:25,Member fo the public,Reason2,allegationtype2,
"Hamlin, Calvin",23V5912F,2019-05-07 15:53:02,Member fo the public,Reason2,allegationtype2,Information from employer
"Tafoya, Samantha",74C2775K,2019-01-31 03:04:27,Employer,Reason2,allegationtype1,Information from employer
"Trujillo, Kevin",29D0260E,2019-10-27 23:01:25,Member fo the public,Reason2,allegationtype1,Information from employer
"Kunz, Andrew",08E5423Q,2019-06-16 09:52:53,Employer,Reason2,allegationtype2,
"Fine, Kristin",69T2289Q,2019-06-24 19:02:48,Employer,Reason1,allegationtype2,Information from employer
"Dean, Rana",86Y1296U,2019-02-12 21:36:29,Employer,Reason1,allegationtype2,Information from employer
"Esquibel, Vivian",64T6926E,2019-01-19 06:14:46,Member fo the public,Reason2,allegationtype1,
"Deherrera, Maria",33O0817M,2019-05-21 13:58:11,Employer,Reason1,allegationtype2,Information from employer
"Sherrell II, Davonte",71I1444X,2019-08-23 19:25:46,Employer,Reason1,allegationtype2,Information from employer
"Cordova, Kevin",50N2772J,2019-05-14 07:00:05,Member fo the public,Reason2,allegationtype2,Information from employer
"Reish, Bryce",79H8577N,2019-07-06 19:07:24,Employer,Reason2,allegationtype1,Information from employer
"el-Ramadan, Mumina",20N9147Y,2019-09-30 22:47:29,Employer,Reason1,allegationtype1,Information from employer
"Maxwell, Akila",70W1158M,2019-03-06 01:51:52,Employer,Reason2,allegationtype1,Information from employer
"Golba, Mackenzie",00R3163B,2019-05-26 14:30:03,Employer,Reason2,allegationtype1,
"el-Shaheen, Najeema",60B5673C,2019-10-03 08:30:31,Member fo the public,Reason2,allegationtype2,Information from employer
"Tate, Amber",09V5632D,2019-08-11 22:40:57,Member fo the public,Reason1,allegationtype2,
"Palmer, Marigret",90J5254S,2019-08-29 10:48:51,Member fo the public,Reason2,allegationtype1,
"Dall, Calandra",38I3594W,2019-12-21 18:48:13,Employer,Reason2,allegationtype1,Information from employer
"Harris, Jordan",77G1753T,2019-11-25 11:36:34,Member fo the public,Reason2,allegationtype1,
"Mcroberts, Jeremiah",88X3953V,2019-10-30 13:38:30,Employer,Reason1,allegationtype2,Information from employer
"Chuong, Matthew",57N1847C,2019-02-04 09:46:52,Member fo the public,Reason2,allegationtype2,Information from employer
"Guerrero, Carlos",30W7434N,2019-01-31 10:14:11,Employer,Reason2,allegationtype1,
"Le, Samuel",46U2312W,2019-10-18 20:29:05,Employer,Reason2,allegationtype1,
"Yang, Armaan",08M9317E,2019-04-07 01:21:29,Member fo the public,Reason1,allegationtype2,Information from employer
"Mcbride, Jessica",25L6547M,2019-07-30 18:25:23,Employer,Reason2,allegationtype1,Information from employer
"el-Abdo, Muzna",31A4586Y,2019-03-02 10:58:09,Employer,Reason1,allegationtype2,Information from employer
"al-Tawil, Abdul Hameed",54T9486I,2019-09-05 00:26:51,Member fo the public,Reason2,allegationtype1,
"Stieb, Jessie",27Q0858C,2019-09-17 21:32:31,Member fo the public,Reason2,allegationtype1,Information from employer
"Cordova, Tara",16U8444X,2019-04-13 10:57:15,Member fo the public,Reason1,allegationtype1,
"Derr, Chandler",65P9599Y,2019-08-23 16:11:05,Member fo the public,Reason2,allegationtype2,Information from employer
"Prawl, Kelly",55A2597J,2019-02-22 09:05:42,Member fo the public,Reason2,allegationtype2,Information from employer
"Lynn, Rashawnya",85K6805M,2019-12-11 15:45:22,Employer,Reason1,allegationtype1,
"Boatner, Anthony",32U8550Q,2019-10-13 13:12:39,Member fo the public,Reason2,allegationtype2,Information from employer
"Kochevar, Ella",52P4557H,2019-04-20 15:01:27,Employer,Reason2,allegationtype1,Information from employer
"Pickett, Michael",57F7571B,2019-02-20 09:18:14,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Taheri, Faalih",55N5950A,2019-02-25 03:00:27,Member fo the public,Reason2,allegationtype1,Information from employer
